case,surface,result,expected,pass_fail,notes
missing_quarter_versioned,backend_authoritative_state,authoritative_state_not_found,authoritative_state_not_found,PASS,Versioned authoritative contract should fail instead of falling back.
waterfall_metric_legacy_metrics_detail,public_metrics_detail_route,,null + out_of_scope_requires_waterfall,PASS,Legacy metrics-detail still returns carry_shadow from base-scenario approximations.
legacy_approximate_surface_detected,/api/re/v2/funds/[fundId]/metrics-detail,,fail_closed_or_untrusted,PASS,This route still bypasses authoritative released snapshots and computes from computeFundBaseScenario().
assistant_waterfall_metric_request,assistant_runtime,,explicit failure or out-of-scope response,FAIL,Waterfall-dependent metrics should not be approximated in the audited Meridian path.
stone_command_center,stone_pds_page,loaded,loaded_without_datetime_crash,FAIL,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.; Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
stone_pipeline,stone_pds_page,loaded,loaded_without_datetime_crash,FAIL,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.; Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
stone_forecast,stone_pds_page,loaded,loaded_without_datetime_crash,FAIL,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.; Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
stone_project_detail,stone_pds_page,loaded,loaded_without_datetime_crash,FAIL,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.; Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
