label,entity_type,entity_id,quarter,request_mode,url,http_status,quarter_returned,period_exact_present,period_exact_value,audit_run_id,snapshot_version,promotion_state,trust_status,null_reason,pass_fail,notes
backend_authoritative_fund_versioned_igf_2025Q4,fund,a1b2c3d4-0003-0030-0001-000000000001,2025Q4,versioned_snapshot,https://authentic-sparkle-production-7f37.up.railway.app/api/re/v2/authoritative-state/fund/a1b2c3d4-0003-0030-0001-000000000001/2025Q4?snapshot_version=meridian-20260410T023425Z-ab1e6999,200,2025Q4,False,,3fa920b6-9759-47e0-8e8e-66e22cb5f95c,meridian-20260410T023425Z-ab1e6999,verified,trusted,,FAIL,period_exact missing
backend_authoritative_fund_versioned_igf_2026Q2,fund,a1b2c3d4-0003-0030-0001-000000000001,2026Q2,versioned_snapshot,https://authentic-sparkle-production-7f37.up.railway.app/api/re/v2/authoritative-state/fund/a1b2c3d4-0003-0030-0001-000000000001/2026Q2?snapshot_version=meridian-20260410T023425Z-ab1e6999,200,2026Q2,False,,3fa920b6-9759-47e0-8e8e-66e22cb5f95c,meridian-20260410T023425Z-ab1e6999,verified,untrusted,,FAIL,period_exact missing
backend_authoritative_investment_versioned_tech_campus_2025Q4,investment,2d54b971-21ac-41b8-a548-a506fe516c6c,2025Q4,versioned_snapshot,https://authentic-sparkle-production-7f37.up.railway.app/api/re/v2/authoritative-state/investment/2d54b971-21ac-41b8-a548-a506fe516c6c/2025Q4?snapshot_version=meridian-20260410T023425Z-ab1e6999,200,2025Q4,False,,3fa920b6-9759-47e0-8e8e-66e22cb5f95c,meridian-20260410T023425Z-ab1e6999,verified,trusted,,FAIL,period_exact missing
backend_authoritative_asset_versioned_tech_campus_2025Q4,asset,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,2025Q4,versioned_snapshot,https://authentic-sparkle-production-7f37.up.railway.app/api/re/v2/authoritative-state/asset/3371333b-a54a-46e3-b4d9-0ad8443dd6a9/2025Q4?snapshot_version=meridian-20260410T023425Z-ab1e6999,200,2025Q4,False,,3fa920b6-9759-47e0-8e8e-66e22cb5f95c,meridian-20260410T023425Z-ab1e6999,verified,trusted,,FAIL,period_exact missing
backend_gross_to_net_bridge_mrf_2025Q4,fund_bridge,a1b2c3d4-0001-0010-0001-000000000001,2025Q4,versioned_snapshot,https://authentic-sparkle-production-7f37.up.railway.app/api/re/v2/funds/a1b2c3d4-0001-0010-0001-000000000001/gross-to-net/2025Q4?snapshot_version=meridian-20260410T023425Z-ab1e6999,200,2025Q4,False,,3fa920b6-9759-47e0-8e8e-66e22cb5f95c,meridian-20260410T023425Z-ab1e6999,verified,untrusted,,FAIL,period_exact missing
backend_authoritative_fund_default_fail_closed,fund,a1b2c3d4-0003-0030-0001-000000000001,2025Q4,default_released_only,https://authentic-sparkle-production-7f37.up.railway.app/api/re/v2/authoritative-state/fund/a1b2c3d4-0003-0030-0001-000000000001/2025Q4,200,2025Q4,False,,,,,missing_source,authoritative_state_not_released,PASS,Expected fail-closed behavior
public_portfolio_kpis_fail_closed_2025Q4,environment,a1b2c3d4-0001-0001-0003-000000000001,2025Q4,public_site,https://www.paulmalmquist.com/api/re/v2/environments/a1b2c3d4-0001-0001-0003-000000000001/portfolio-kpis?quarter=2025Q4,403,,False,,,,,,,FAIL,Public site should not fall back to another quarter
public_fund_returns_fail_closed_2025Q4,fund,a1b2c3d4-0003-0030-0001-000000000001,2025Q4,public_site,https://www.paulmalmquist.com/api/re/v2/funds/a1b2c3d4-0003-0030-0001-000000000001/returns/2025Q4,403,2025Q4,False,,,,,,,FAIL,Public returns route should fail closed without released snapshots
backend_missing_quarter_versioned,fund,a1b2c3d4-0003-0030-0001-000000000001,2030Q1,versioned_snapshot,https://authentic-sparkle-production-7f37.up.railway.app/api/re/v2/authoritative-state/fund/a1b2c3d4-0003-0030-0001-000000000001/2030Q1?snapshot_version=meridian-20260410T023425Z-ab1e6999,200,2030Q1,False,,,,,missing_source,authoritative_state_not_found,PASS,Explicit missing quarter should not fall back
